label,merged_label,latitude,longitude,year,example_path
Oil palm plantation,Plantation,1.5450784967355304,109.53246925488949,2009,examples/1.5450784967355304_109.53246925488949
Small-scale agriculture,Smallholder agriculture,0.03729163768857157,111.45695243537621,2007,examples/0.03729163768857157_111.45695243537621
Logging,Other,-0.9652980494891202,114.13526876074896,2013,examples/-0.9652980494891202_114.13526876074896
Oil palm plantation,Plantation,0.5458672268668053,99.19865542929053,2006,examples/0.5458672268668053_99.19865542929053
Small-scale agriculture,Smallholder agriculture,-1.4453516734647438,100.7885494269432,2010,examples/-1.4453516734647438_100.7885494269432
Other,Other,-0.414739877108802,130.84907976032218,2006,examples/-0.414739877108802_130.84907976032218
Oil palm plantation,Plantation,1.2673855496545907,118.13648785567229,2015,examples/1.2673855496545907_118.13648785567229
Small-scale oil palm plantation,Smallholder agriculture,-0.09597371062916822,100.04474437169223,2007,examples/-0.09597371062916822_100.04474437169223
Grassland shrubland,Grassland shrubland,-2.5243860584670275,111.49944130144868,2012,examples/-2.5243860584670275_111.49944130144868
Oil palm plantation,Plantation,-0.17297292368434325,109.52260195814186,2015,examples/-0.17297292368434325_109.52260195814186
Timber plantation,Plantation,0.8123603358261604,101.8156424092222,2010,examples/0.8123603358261604_101.8156424092222
Timber plantation,Plantation,-0.19492876092991773,101.69489626553744,2016,examples/-0.19492876092991773_101.69489626553744
Small-scale agriculture,Smallholder agriculture,1.1382087343467964,101.03331529268957,2008,examples/1.1382087343467964_101.03331529268957
Small-scale agriculture,Smallholder agriculture,-1.678671003044326,105.42695548073013,2016,examples/-1.678671003044326_105.42695548073013
Timber plantation,Plantation,-1.1838372096038745,103.24834457274851,2009,examples/-1.1838372096038745_103.24834457274851
Other,Other,-4.489983248997199,136.9155113034433,2010,examples/-4.489983248997199_136.9155113034433
Grassland shrubland,Grassland shrubland,-2.2267620296734965,119.21147801955824,2015,examples/-2.2267620296734965_119.21147801955824
Small-scale agriculture,Smallholder agriculture,-3.935697671592911,102.89953160862477,2016,examples/-3.935697671592911_102.89953160862477
Small-scale oil palm plantation,Smallholder agriculture,0.24483901150725465,109.86024505962351,2008,examples/0.24483901150725465_109.86024505962351
Other,Other,-4.416827849193961,123.00787073094251,2015,examples/-4.416827849193961_123.00787073094251
Small-scale mixed plantation,Smallholder agriculture,-0.6981991849538832,102.71908830521893,2004,examples/-0.6981991849538832_102.71908830521893
Small-scale mixed plantation,Smallholder agriculture,1.5117095608138007,101.07984069245079,2011,examples/1.5117095608138007_101.07984069245079
Mining,Other,2.3688262317806226,117.55205667454828,2015,examples/2.3688262317806226_117.55205667454828
Small-scale agriculture,Smallholder agriculture,-2.280247891139404,104.05091612851584,2016,examples/-2.280247891139404_104.05091612851584
Small-scale agriculture,Smallholder agriculture,-2.9691549340041106,107.953883708948,2004,examples/-2.9691549340041106_107.953883708948
Mining,Other,-1.6531335340043138,114.46744650320309,2010,examples/-1.6531335340043138_114.46744650320309
Other large-scale plantations,Plantation,-1.6047089380178357,112.4654138734915,2008,examples/-1.6047089380178357_112.4654138734915
Timber plantation,Plantation,-0.4395287869716086,109.84718261888963,2014,examples/-0.4395287869716086_109.84718261888963
Timber plantation,Plantation,1.7616083496930823,101.1536890129054,2006,examples/1.7616083496930823_101.1536890129054
Oil palm plantation,Plantation,0.003613801407142232,109.77720738037644,2008,examples/0.003613801407142232_109.77720738037644
Small-scale mixed plantation,Smallholder agriculture,4.254705644950026,96.02970471757332,2009,examples/4.254705644950026_96.02970471757332
Other large-scale plantations,Plantation,-2.1982428617891414,111.7800955444504,2008,examples/-2.1982428617891414_111.7800955444504
Small-scale mixed plantation,Smallholder agriculture,0.4390554969676429,124.12864002100649,2010,examples/0.4390554969676429_124.12864002100649
Oil palm plantation,Plantation,-1.8898346039600893,111.38957707799051,2011,examples/-1.8898346039600893_111.38957707799051
Small-scale mixed plantation,Smallholder agriculture,1.290635312987995,101.44348063325815,2011,examples/1.290635312987995_101.44348063325815
Small-scale agriculture,Smallholder agriculture,0.3032616163053343,128.79375298819028,2014,examples/0.3032616163053343_128.79375298819028
Grassland shrubland,Grassland shrubland,-3.0142800472576936,107.63797888953356,2015,examples/-3.0142800472576936_107.63797888953356
Secondary forest,Other,-0.8130447298209358,100.86186389376087,2012,examples/-0.8130447298209358_100.86186389376087
Small-scale agriculture,Smallholder agriculture,1.8631536490817981,101.6865109994196,2011,examples/1.8631536490817981_101.6865109994196
Small-scale oil palm plantation,Smallholder agriculture,2.429700666926939,98.05523802599205,2006,examples/2.429700666926939_98.05523802599205
Grassland shrubland,Grassland shrubland,-2.3132777507702533,112.7125333532712,2016,examples/-2.3132777507702533_112.7125333532712
Mining,Other,-1.985274583927312,105.34008839275579,2009,examples/-1.985274583927312_105.34008839275579
Grassland shrubland,Grassland shrubland,-1.580263463333781,103.95892284783956,2013,examples/-1.580263463333781_103.95892284783956
Timber plantation,Plantation,0.1914738501905212,115.93857747941088,2016,examples/0.1914738501905212_115.93857747941088
Grassland shrubland,Grassland shrubland,0.8602410890403347,112.12688164016708,2012,examples/0.8602410890403347_112.12688164016708
Small-scale agriculture,Smallholder agriculture,-1.6456490761030145,102.612331909837,2010,examples/-1.6456490761030145_102.612331909837
Other,Other,-2.8631473027814716,110.35068892663557,2001,examples/-2.8631473027814716_110.35068892663557
Oil palm plantation,Plantation,0.888367312194149,111.89060840296035,2011,examples/0.888367312194149_111.89060840296035
Small-scale agriculture,Smallholder agriculture,1.0589874421548786,120.88577125267565,2002,examples/1.0589874421548786_120.88577125267565
Oil palm plantation,Plantation,0.4544698306993186,99.19594225624137,2003,examples/0.4544698306993186_99.19594225624137
Timber plantation,Plantation,-1.3990738726790872,102.63395671847937,2002,examples/-1.3990738726790872_102.63395671847937
Oil palm plantation,Plantation,-0.0551433313266534,110.95477387251721,2008,examples/-0.0551433313266534_110.95477387251721
Oil palm plantation,Plantation,0.07326044181024523,101.55857983754818,2006,examples/0.07326044181024523_101.55857983754818
Small-scale oil palm plantation,Smallholder agriculture,0.7602365278513699,101.84833969387131,2002,examples/0.7602365278513699_101.84833969387131
Timber plantation,Plantation,0.4848248358339913,102.3347557590764,2007,examples/0.4848248358339913_102.3347557590764
Grassland shrubland,Grassland shrubland,-2.1221218265818265,110.16638065050104,2014,examples/-2.1221218265818265_110.16638065050104
Oil palm plantation,Plantation,-2.0938493267733262,101.00033828239792,2010,examples/-2.0938493267733262_101.00033828239792
Small-scale agriculture,Smallholder agriculture,-8.022043821522297,114.0587174331823,2012,examples/-8.022043821522297_114.0587174331823
Other large-scale plantations,Plantation,0.033994744621891095,103.20273937188207,2002,examples/0.033994744621891095_103.20273937188207
Grassland shrubland,Grassland shrubland,0.5517506374000314,127.92034423896143,2016,examples/0.5517506374000314_127.92034423896143
Other large-scale plantations,Plantation,0.11663311328103852,111.663355250152,2011,examples/0.11663311328103852_111.663355250152
Small-scale agriculture,Smallholder agriculture,0.7616811204732011,122.7559541920372,2006,examples/0.7616811204732011_122.7559541920372
Timber plantation,Plantation,0.16018014651117948,102.78487398564987,2008,examples/0.16018014651117948_102.78487398564987
Oil palm plantation,Plantation,2.027157494129077,101.43943186737906,2007,examples/2.027157494129077_101.43943186737906
Other,Other,-2.2611984498756885,137.3107251126917,2014,examples/-2.2611984498756885_137.3107251126917
Small-scale agriculture,Smallholder agriculture,-2.375918704262056,101.78675737065682,2013,examples/-2.375918704262056_101.78675737065682
Other,Other,-1.9778966641104776,138.6855113150846,2004,examples/-1.9778966641104776_138.6855113150846
Small-scale agriculture,Smallholder agriculture,-3.133593842298786,121.16905761962644,2009,examples/-3.133593842298786_121.16905761962644
Oil palm plantation,Plantation,-0.4749351302856709,101.92049646478172,2016,examples/-0.4749351302856709_101.92049646478172
Small-scale agriculture,Smallholder agriculture,2.9406146564686853,97.49974231217465,2011,examples/2.9406146564686853_97.49974231217465
Small-scale mixed plantation,Smallholder agriculture,-2.3593822950557204,104.99784674747886,2003,examples/-2.3593822950557204_104.99784674747886
Timber plantation,Plantation,-1.3434813555073244,103.69199621487145,2003,examples/-1.3434813555073244_103.69199621487145
Small-scale agriculture,Smallholder agriculture,0.4448592361448969,115.2583084313942,2016,examples/0.4448592361448969_115.2583084313942
Other,Other,1.956682117608066,98.87527261906122,2008,examples/1.956682117608066_98.87527261906122
Other large-scale plantations,Plantation,0.06782342701722027,109.97932813082451,2013,examples/0.06782342701722027_109.97932813082451
Oil palm plantation,Plantation,-1.0769529112598142,101.50843483293656,2006,examples/-1.0769529112598142_101.50843483293656
Small-scale agriculture,Smallholder agriculture,0.8272228027851727,111.32129686956856,2008,examples/0.8272228027851727_111.32129686956856
Other large-scale plantations,Plantation,-0.24557616278371594,109.9370944763967,2012,examples/-0.24557616278371594_109.9370944763967
Small-scale mixed plantation,Smallholder agriculture,-1.016897748330572,101.90829942859816,2016,examples/-1.016897748330572_101.90829942859816
Other large-scale plantations,Plantation,1.222041903828196,117.991571673391,2013,examples/1.222041903828196_117.991571673391
Timber plantation,Plantation,-0.06719023741086615,101.987740693334,2008,examples/-0.06719023741086615_101.987740693334
Small-scale mixed plantation,Smallholder agriculture,-0.13188017253969458,102.31091344712705,2003,examples/-0.13188017253969458_102.31091344712705
Small-scale agriculture,Smallholder agriculture,-4.419833019523878,122.99466070525105,2013,examples/-4.419833019523878_122.99466070525105
Secondary forest,Other,-1.141950544501038,111.51254745723364,2012,examples/-1.141950544501038_111.51254745723364
Small-scale agriculture,Smallholder agriculture,0.07400561066302222,111.53329754216864,2015,examples/0.07400561066302222_111.53329754216864
Oil palm plantation,Plantation,-2.6351298653747435,112.448287619884,2007,examples/-2.6351298653747435_112.448287619884
Logging,Other,-0.2833149275424211,127.92005154285566,2015,examples/-0.2833149275424211_127.92005154285566
Mining,Other,-2.599048077539019,121.38142283556552,2014,examples/-2.599048077539019_121.38142283556552
Oil palm plantation,Plantation,3.798066651595927,117.65569543877035,2013,examples/3.798066651595927_117.65569543877035
Other,Other,-3.2834544419045177,113.93721719005913,2002,examples/-3.2834544419045177_113.93721719005913
Grassland shrubland,Grassland shrubland,-3.6551124947804365,126.48057316527687,2016,examples/-3.6551124947804365_126.48057316527687
Timber plantation,Plantation,-1.0234239231924058,101.90101006640604,2009,examples/-1.0234239231924058_101.90101006640604
Small-scale mixed plantation,Smallholder agriculture,-1.3853269674249824,101.6643423846024,2006,examples/-1.3853269674249824_101.6643423846024
Oil palm plantation,Plantation,-1.4797784354633503,113.20725113742722,2014,examples/-1.4797784354633503_113.20725113742722
Oil palm plantation,Plantation,0.5110090754190456,99.16276385407379,2002,examples/0.5110090754190456_99.16276385407379
Secondary forest,Other,-2.742816461520217,114.74217056670014,2015,examples/-2.742816461520217_114.74217056670014
Timber plantation,Plantation,-1.4480168261799211,103.23168312326813,2009,examples/-1.4480168261799211_103.23168312326813
Oil palm plantation,Plantation,-1.4046725178860429,110.23766769190156,2014,examples/-1.4046725178860429_110.23766769190156
Small-scale oil palm plantation,Smallholder agriculture,1.1635558297276216,101.01962377550899,2009,examples/1.1635558297276216_101.01962377550899
Oil palm plantation,Plantation,-2.157693412309801,100.90138448188648,2002,examples/-2.157693412309801_100.90138448188648
Secondary forest,Other,0.5607972045255669,127.91527609880528,2015,examples/0.5607972045255669_127.91527609880528
Timber plantation,Plantation,1.0825872784214332,102.32572546240299,2015,examples/1.0825872784214332_102.32572546240299
Small-scale agriculture,Smallholder agriculture,0.7721662607629399,110.96489596080791,2003,examples/0.7721662607629399_110.96489596080791
Grassland shrubland,Grassland shrubland,-2.156879329598625,113.44574141215662,2015,examples/-2.156879329598625_113.44574141215662
Small-scale oil palm plantation,Smallholder agriculture,-4.072262088055991,102.74700104808987,2006,examples/-4.072262088055991_102.74700104808987
Oil palm plantation,Plantation,-1.935946282738646,110.56048863134012,2009,examples/-1.935946282738646_110.56048863134012
Timber plantation,Plantation,-0.7225846998573321,101.95020583660236,2006,examples/-0.7225846998573321_101.95020583660236
Small-scale agriculture,Smallholder agriculture,4.1390624078891936,96.20191241364263,2013,examples/4.1390624078891936_96.20191241364263
Logging,Other,2.376152173762724,117.11075847633805,2016,examples/2.376152173762724_117.11075847633805
Logging,Other,-1.0906633202074585,113.36990413867916,2014,examples/-1.0906633202074585_113.36990413867916
Small-scale agriculture,Smallholder agriculture,2.109785241294074,101.18559914792988,2012,examples/2.109785241294074_101.18559914792988
Small-scale agriculture,Smallholder agriculture,-1.1590804024849108,112.32291206056732,2012,examples/-1.1590804024849108_112.32291206056732
Small-scale mixed plantation,Smallholder agriculture,-0.2173684371572185,101.72328801870869,2013,examples/-0.2173684371572185_101.72328801870869
Small-scale agriculture,Smallholder agriculture,-1.4415485004699795,102.66593998812021,2007,examples/-1.4415485004699795_102.66593998812021
Small-scale agriculture,Smallholder agriculture,-5.5315452472730975,105.09898057049813,2005,examples/-5.5315452472730975_105.09898057049813
Grassland shrubland,Grassland shrubland,-1.5973927501748606,115.67409906575158,2016,examples/-1.5973927501748606_115.67409906575158
Small-scale agriculture,Smallholder agriculture,0.9233197708664148,120.86718361225503,2012,examples/0.9233197708664148_120.86718361225503
Oil palm plantation,Plantation,-0.5444652477779918,110.24263844136757,2013,examples/-0.5444652477779918_110.24263844136757
Small-scale mixed plantation,Smallholder agriculture,-0.04746932267040891,119.65848542555084,2005,examples/-0.04746932267040891_119.65848542555084
Small-scale mixed plantation,Smallholder agriculture,-0.6419827066896667,102.55785126869124,2016,examples/-0.6419827066896667_102.55785126869124
Oil palm plantation,Plantation,-2.3182341847756254,112.15173340857514,2006,examples/-2.3182341847756254_112.15173340857514
Timber plantation,Plantation,0.7014757461794207,102.3371840557046,2006,examples/0.7014757461794207_102.3371840557046
Timber plantation,Plantation,0.9223328472994268,101.68295282872393,2012,examples/0.9223328472994268_101.68295282872393
Small-scale agriculture,Smallholder agriculture,-1.00237121305054,110.79723471700676,2002,examples/-1.00237121305054_110.79723471700676
Small-scale agriculture,Smallholder agriculture,2.8405956220939648,117.463557897203,2002,examples/2.8405956220939648_117.463557897203
Small-scale agriculture,Smallholder agriculture,0.8171499343871285,122.70115415247065,2005,examples/0.8171499343871285_122.70115415247065
Oil palm plantation,Plantation,1.4956398638782444,109.76767702303444,2005,examples/1.4956398638782444_109.76767702303444
Grassland shrubland,Grassland shrubland,-3.4826753419531133,126.31108882879484,2015,examples/-3.4826753419531133_126.31108882879484
Small-scale agriculture,Smallholder agriculture,2.6875208141544644,98.09868445934008,2010,examples/2.6875208141544644_98.09868445934008
Oil palm plantation,Plantation,-1.161985030435108,114.09363000147673,2006,examples/-1.161985030435108_114.09363000147673
Small-scale mixed plantation,Smallholder agriculture,1.3806948361997229,101.52647621371663,2007,examples/1.3806948361997229_101.52647621371663
Oil palm plantation,Plantation,-2.6752518456235763,104.60095856184195,2012,examples/-2.6752518456235763_104.60095856184195
Fish pond,Other,3.706376147016078,117.38829418512636,2002,examples/3.706376147016078_117.38829418512636
Other,Other,-1.0880854137306424,132.1236280833645,2004,examples/-1.0880854137306424_132.1236280833645
Other,Other,-1.4948817706641218,111.54771650060692,2010,examples/-1.4948817706641218_111.54771650060692
Oil palm plantation,Plantation,-2.2925813685161267,111.71885380365627,2007,examples/-2.2925813685161267_111.71885380365627
Oil palm plantation,Plantation,-0.8984022928167034,103.16573233324274,2002,examples/-0.8984022928167034_103.16573233324274
Oil palm plantation,Plantation,-3.0637016451773547,104.13267514788168,2009,examples/-3.0637016451773547_104.13267514788168
Small-scale agriculture,Smallholder agriculture,-1.4499653909802015,120.79933086446121,2001,examples/-1.4499653909802015_120.79933086446121
Grassland shrubland,Grassland shrubland,-6.6462730568093065,139.11886053310522,2012,examples/-6.6462730568093065_139.11886053310522
Small-scale agriculture,Smallholder agriculture,-4.627611245043363,121.71034608091001,2001,examples/-4.627611245043363_121.71034608091001
Timber plantation,Plantation,-0.22946911191326005,101.62682788208393,2008,examples/-0.22946911191326005_101.62682788208393
Oil palm plantation,Plantation,2.0798877438995023,98.3094294169029,2005,examples/2.0798877438995023_98.3094294169029
Small-scale agriculture,Smallholder agriculture,-2.2071961961711453,100.9474755846295,2008,examples/-2.2071961961711453_100.9474755846295
Timber plantation,Plantation,4.886994399691508,97.21480347287023,2009,examples/4.886994399691508_97.21480347287023
Grassland shrubland,Grassland shrubland,-2.114315044772064,103.2851472645682,2015,examples/-2.114315044772064_103.2851472645682
Small-scale mixed plantation,Smallholder agriculture,1.0825688195252277,102.31848381345777,2014,examples/1.0825688195252277_102.31848381345777
Small-scale agriculture,Smallholder agriculture,-0.4554065385987238,114.80358983940286,2007,examples/-0.4554065385987238_114.80358983940286
Other large-scale plantations,Plantation,3.827167576788169,116.75122575017497,2015,examples/3.827167576788169_116.75122575017497
Fish pond,Other,-2.859525430071101,120.35974028017729,2006,examples/-2.859525430071101_120.35974028017729
Small-scale agriculture,Smallholder agriculture,2.4150258141247085,128.6241061467843,2015,examples/2.4150258141247085_128.6241061467843
Secondary forest,Other,-2.5283956763076345,101.79120403131321,2015,examples/-2.5283956763076345_101.79120403131321
Timber plantation,Plantation,-0.4331944822579508,109.87496135724035,2013,examples/-0.4331944822579508_109.87496135724035
Oil palm plantation,Plantation,-0.9234349628260428,115.83601948498142,2016,examples/-0.9234349628260428_115.83601948498142
Timber plantation,Plantation,-1.061985123150507,101.43492982564385,2010,examples/-1.061985123150507_101.43492982564385
Small-scale mixed plantation,Smallholder agriculture,1.3473879857143536,98.95628548241352,2014,examples/1.3473879857143536_98.95628548241352
Grassland shrubland,Grassland shrubland,-2.5870794656190825,113.32203035057327,2016,examples/-2.5870794656190825_113.32203035057327
Small-scale agriculture,Smallholder agriculture,-2.8789025789388667,119.42409999600264,2005,examples/-2.8789025789388667_119.42409999600264
Oil palm plantation,Plantation,-1.0463735947329822,110.53981706036085,2011,examples/-1.0463735947329822_110.53981706036085
Oil palm plantation,Plantation,-1.0237062736320846,110.26421485159796,2008,examples/-1.0237062736320846_110.26421485159796
Oil palm plantation,Plantation,1.354346058896725,116.84417253221076,2016,examples/1.354346058896725_116.84417253221076
Small-scale agriculture,Smallholder agriculture,2.146248609207571,100.56555162089506,2010,examples/2.146248609207571_100.56555162089506
Secondary forest,Other,-2.7451251800297785,132.3570103941788,2014,examples/-2.7451251800297785_132.3570103941788
Secondary forest,Other,1.4488848985384482,100.96035222503107,2013,examples/1.4488848985384482_100.96035222503107
Grassland shrubland,Grassland shrubland,0.04223651558766662,101.94322532979788,2014,examples/0.04223651558766662_101.94322532979788
Oil palm plantation,Plantation,-2.9593134010769933,114.59923363307527,2008,examples/-2.9593134010769933_114.59923363307527
Oil palm plantation,Plantation,1.1980980352901602,100.6585614996692,2012,examples/1.1980980352901602_100.6585614996692
Small-scale mixed plantation,Smallholder agriculture,-0.3385569681223132,99.91951873287115,2008,examples/-0.3385569681223132_99.91951873287115
Timber plantation,Plantation,0.6875311122354894,102.08586537958915,2002,examples/0.6875311122354894_102.08586537958915
Small-scale agriculture,Smallholder agriculture,-5.175111591018148,104.41069139980571,2004,examples/-5.175111591018148_104.41069139980571
Small-scale agriculture,Smallholder agriculture,-1.6755879121336228,101.62780946428472,2011,examples/-1.6755879121336228_101.62780946428472
Other large-scale plantations,Plantation,-2.8573980884103487,107.67325753442171,2014,examples/-2.8573980884103487_107.67325753442171
Small-scale agriculture,Smallholder agriculture,-1.6183565286529995,120.35158010004804,2012,examples/-1.6183565286529995_120.35158010004804
Other large-scale plantations,Plantation,-1.7082215244700114,110.65293556485408,2015,examples/-1.7082215244700114_110.65293556485408
Small-scale agriculture,Smallholder agriculture,-0.8809880987330929,111.41182335693769,2015,examples/-0.8809880987330929_111.41182335693769
Oil palm plantation,Plantation,-0.12460133212278242,109.9325213600993,2009,examples/-0.12460133212278242_109.9325213600993
Timber plantation,Plantation,-0.7331342118393718,109.83653133876213,2001,examples/-0.7331342118393718_109.83653133876213
Other large-scale plantations,Plantation,2.2981549314699867,116.93334626763463,2014,examples/2.2981549314699867_116.93334626763463
Oil palm plantation,Plantation,1.5236715872155453,109.41566521976604,2009,examples/1.5236715872155453_109.41566521976604
Small-scale oil palm plantation,Smallholder agriculture,-2.170984136547498,113.77894727532775,2013,examples/-2.170984136547498_113.77894727532775
Other large-scale plantations,Plantation,0.18255525164259548,102.29684745401156,2014,examples/0.18255525164259548_102.29684745401156
Oil palm plantation,Plantation,2.198679937441597,117.139356870173,2005,examples/2.198679937441597_117.139356870173
Timber plantation,Plantation,-1.4419682257561863,102.92136357193064,2007,examples/-1.4419682257561863_102.92136357193064
Small-scale agriculture,Smallholder agriculture,-2.640064182213836,101.45097396901018,2011,examples/-2.640064182213836_101.45097396901018
Oil palm plantation,Plantation,-0.6911562042508125,101.75191187478278,2001,examples/-0.6911562042508125_101.75191187478278
Other,Other,-0.11374459986667035,109.62392940390076,2001,examples/-0.11374459986667035_109.62392940390076
Logging,Other,-1.884242649166288,111.04753455040917,2013,examples/-1.884242649166288_111.04753455040917
Small-scale oil palm plantation,Smallholder agriculture,-2.13997360461327,103.43369068803352,2006,examples/-2.13997360461327_103.43369068803352
Grassland shrubland,Grassland shrubland,1.134086107736949,99.70086928093129,2013,examples/1.134086107736949_99.70086928093129
Small-scale mixed plantation,Smallholder agriculture,1.3497386884724598,101.42694261527654,2011,examples/1.3497386884724598_101.42694261527654
Other large-scale plantations,Plantation,-3.8054281847753084,116.21393523776078,2014,examples/-3.8054281847753084_116.21393523776078
Timber plantation,Plantation,-0.921913761885374,102.87846175777328,2009,examples/-0.921913761885374_102.87846175777328
Oil palm plantation,Plantation,-0.3931082047551969,110.2838158564629,2008,examples/-0.3931082047551969_110.2838158564629
Oil palm plantation,Plantation,-1.7870638208079657,114.96047920110243,2003,examples/-1.7870638208079657_114.96047920110243
Fish pond,Other,3.3665822194492447,117.29180866575227,2005,examples/3.3665822194492447_117.29180866575227
Small-scale agriculture,Smallholder agriculture,-4.670967664337079,103.72253697640595,2004,examples/-4.670967664337079_103.72253697640595
Small-scale agriculture,Smallholder agriculture,-0.3622875579954331,100.85797598788672,2008,examples/-0.3622875579954331_100.85797598788672
Grassland shrubland,Grassland shrubland,0.3516401007243539,109.07187399005433,2015,examples/0.3516401007243539_109.07187399005433
Oil palm plantation,Plantation,0.025447743300818008,102.00768796503188,2001,examples/0.025447743300818008_102.00768796503188
Timber plantation,Plantation,1.3727166064054972,118.26307240704244,2016,examples/1.3727166064054972_118.26307240704244
Small-scale agriculture,Smallholder agriculture,-0.9568615546556564,119.73029637506536,2016,examples/-0.9568615546556564_119.73029637506536
Small-scale agriculture,Smallholder agriculture,0.194003722629672,102.49306032941088,2001,examples/0.194003722629672_102.49306032941088
Oil palm plantation,Plantation,-2.8828414310660864,103.75069916056313,2012,examples/-2.8828414310660864_103.75069916056313
Oil palm plantation,Plantation,-0.20493768327098616,99.81366474761083,2001,examples/-0.20493768327098616_99.81366474761083
Grassland shrubland,Grassland shrubland,-4.191650597747334,103.90852742967036,2013,examples/-4.191650597747334_103.90852742967036
Timber plantation,Plantation,-1.9703357278218896,101.98121525497216,2002,examples/-1.9703357278218896_101.98121525497216
Oil palm plantation,Plantation,-0.3079202650848545,102.35288303960264,2004,examples/-0.3079202650848545_102.35288303960264
Oil palm plantation,Plantation,-1.5215863339923232,102.55172129683014,2012,examples/-1.5215863339923232_102.55172129683014
Fish pond,Other,2.848796621939901,117.55516532308485,2002,examples/2.848796621939901_117.55516532308485
Timber plantation,Plantation,0.5609059857313529,102.27966249809505,2008,examples/0.5609059857313529_102.27966249809505
Small-scale mixed plantation,Smallholder agriculture,-1.2957663149395335,101.49832752600595,2007,examples/-1.2957663149395335_101.49832752600595
Oil palm plantation,Plantation,1.2069579967701791,100.62982314970014,2011,examples/1.2069579967701791_100.62982314970014
Small-scale oil palm plantation,Smallholder agriculture,1.280847900199854,100.17783912836927,2004,examples/1.280847900199854_100.17783912836927
Other large-scale plantations,Plantation,-7.29854739806456,140.82349705108336,2015,examples/-7.29854739806456_140.82349705108336
Oil palm plantation,Plantation,-1.079671982560119,110.31392008942544,2008,examples/-1.079671982560119_110.31392008942544
Small-scale agriculture,Smallholder agriculture,-1.9046017922713667,101.48992647176694,2004,examples/-1.9046017922713667_101.48992647176694
Small-scale agriculture,Smallholder agriculture,-5.346673125320115,104.52259902632493,2010,examples/-5.346673125320115_104.52259902632493
Oil palm plantation,Plantation,-2.2351530576465666,121.31594978140534,2009,examples/-2.2351530576465666_121.31594978140534
Grassland shrubland,Grassland shrubland,0.3028546445005729,127.75498610939869,2014,examples/0.3028546445005729_127.75498610939869
Small-scale oil palm plantation,Smallholder agriculture,1.0603027471571762,102.15965805002806,2009,examples/1.0603027471571762_102.15965805002806
Oil palm plantation,Plantation,-2.2808835341551794,116.37881118283748,2013,examples/-2.2808835341551794_116.37881118283748
Other,Other,-3.720109846706684,136.93418727820008,2008,examples/-3.720109846706684_136.93418727820008
Small-scale agriculture,Smallholder agriculture,-1.062986339996704,102.33500632308457,2015,examples/-1.062986339996704_102.33500632308457
Small-scale agriculture,Smallholder agriculture,-6.690813326866202,106.29542873111124,2002,examples/-6.690813326866202_106.29542873111124
Other large-scale plantations,Plantation,0.7463195345168179,102.40509037388685,2012,examples/0.7463195345168179_102.40509037388685
Oil palm plantation,Plantation,-1.7756082371571231,114.98966384999541,2001,examples/-1.7756082371571231_114.98966384999541
Other large-scale plantations,Plantation,-2.9454573921788736,111.79443879339036,2014,examples/-2.9454573921788736_111.79443879339036
